"UFID","Genus","Species","consensusESU","molecularESU","morphologicalESU","Country","Lat","Long","Date.Collected","Extract","notes","ossicle_pictures","Photo","n16S","n16Sc","nCOI","nATP6","nc0036","nc0775","nITS","nLSU","nH3a","sumLoci","SingleExtract","UFID_idig","uuid_idig"
"7163b","Holothuria","impatiens","ESU2","","ESU2","Nosy B̩",-13.44624,48.33157,"5/26/2008","C0203","","","",0,0,1,0,0,0,0,0,0,1,"C0203","7163-echinodermata","590a6b16-85b3-499a-91db-13cea595bab0"
"7055b","Holothuria","impatiens","ESU1","","ESU1","Mayotte",-12.947371,45.099797,"5/29/2008","N1193","","","",0,0,0,0,0,0,0,0,0,0,"N1193","7055-echinodermata","33d50638-8cb2-4cf1-91f1-5c7426f536ea"
"7055b","Holothuria","impatiens","ESU1","","ESU1","Mayotte",-12.947371,45.099797,"5/29/2008","N1193","","","",0,0,0,0,0,0,0,0,0,0,"N1193","7055-echinodermata","33d50638-8cb2-4cf1-91f1-5c7426f536ea"
"7055b","Holothuria","impatiens","ESU1","","ESU1","Mayotte",-12.947371,45.099797,"5/29/2008","C0207","","","",0,0,1,0,0,0,0,0,0,1,"C0207","7055-echinodermata","33d50638-8cb2-4cf1-91f1-5c7426f536ea"
"7055b","Holothuria","impatiens","ESU1","","ESU1","Mayotte",-12.947371,45.099797,"5/29/2008","C0207","","","",0,0,1,0,0,0,0,0,0,1,"C0207","7055-echinodermata","33d50638-8cb2-4cf1-91f1-5c7426f536ea"
"7519a","Holothuria","impatiens","ESU3","","ESU3","Nosy B̩",-13.4244,48.3642,"5/15/2008","C0208","","","",0,0,1,0,0,0,0,0,0,1,"C0208","7519-echinodermata","9786ad1e-7274-4257-b4fb-417cbb8bf4ad"
"7519b","Holothuria","impatiens","ESU3","","ESU3","Nosy B̩",-13.4244,48.3642,"5/15/2008","C0209","","","",0,0,1,1,1,0,1,0,1,5,"C0209","7519-echinodermata","9786ad1e-7274-4257-b4fb-417cbb8bf4ad"
"6058","Holothuria","impatiens","","missing","ESU1/hawaii","Oahu",21.405246,-157.984712,"10/2006","FLMNH_023_A10","","","yes",0,0,0,0,0,0,0,0,0,0,"FLMNH_023_A10","6058-echinodermata","6ebedddf-76d5-40cb-8e69-be85781acc8e"
"6243","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","FFS",23.7212,-166.1328,"10/24/2006","FLMNH_023_F07","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_023_F07","6243-echinodermata","34280307-93c8-45b6-969e-8bb9875a515f"
"8585","Holothuria","impatiens","ESU1","ESU1","ESU1","Lizard Island",-14.667892,145.4443815,"2/2009","FLMNH_036_B03","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_B03","8585-echinodermata","91b2a1ea-fa87-4445-ad91-90538392738e"
"8406","Holothuria","impatiens","ESU2","ESU2","ESU2","Lizard Island",-14.7746,145.3673,"2/16/2009","FLMNH_036_B06","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_B06","8406-echinodermata","411f09be-b34a-4557-9282-2fa4a876cf59"
"8544","Holothuria","impatiens","ESU1","ESU1","ESU1","Lizard Island",-14.6857,145.4474,"2/25/2009","FLMNH_036_C03","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_C03","8544-echinodermata","819fa8c8-e268-4b7e-ba76-a69d556695f2"
"8172","Holothuria","impatiens","ESU2","ESU2","ESU2","Lizard Island",-14.667892,145.4443815,"2/9/2009","FLMNH_036_C07","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_C07","8172-echinodermata","b08a6ee9-d7e7-4744-823f-079bbdb66112"
"8336","Holothuria","impatiens","gracilis","gracilis","ESU1","Lizard Island",-14.45434,145.308842,"2/15/2009","FLMNH_036_D01","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_D01","8336-echinodermata","40f8c461-0871-4286-b724-d7781c5508df"
"8174","Holothuria","impatiens","ESU2","ESU2","ESU2","Lizard Island",-14.667892,145.4443815,"2/9/2009","FLMNH_036_D07","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_D07","8174-echinodermata","7859d11f-183c-455c-98eb-446f18099e8f"
"8348","Holothuria","gracilis","gracilis","gracilis","gracilis","Lizard Island",-14.6068,145.3506,"2/16/2009","FLMNH_036_D11","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_D11","8348-echinodermata","d29739c5-6d02-4f4b-ab16-653b1bee496a"
"8459","Holothuria","impatiens","ESU1","ESU1","ESU1","Lizard Island",-14.3902,145.2737,"2/21/2009","FLMNH_036_E04","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_E04","8459-echinodermata","a1921073-37f4-4705-a452-73780b392bff"
"8288","Holothuria","impatiens","gracilis","gracilis","gracilis","Lizard Island",-14.6805,145.4714,"2/10/2009","FLMNH_036_E08","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_E08","8288-echinodermata","62a7cbd9-e990-41dd-869a-9f9657766993"
"8354","Holothuria","impatiens","gracilis","gracilis","gracilis","Lizard Island",-14.7746,145.3673,"2/16/2009","FLMNH_036_E11","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_E11","8354-echinodermata","2bbe5980-04fb-46c2-99a3-2f604231f7e6"
"8364","Holothuria","impatiens","gracilis","gracilis","gracilis","Lizard Island",-14.7746,145.3673,"2/16/2009","FLMNH_036_F03","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_F03","8364-echinodermata","74cfb3c7-996d-4362-be73-56c744157892"
"8192","Holothuria","impatiens","ESU1","ESU1","ESU1","Lizard Island",-14.6805,145.4714,"2/10/2009","FLMNH_036_F07","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_F07","8192-echinodermata","9e28b3ff-d5e3-4b58-a3e6-5615c9be269a"
"8355","Holothuria","impatiens","ESU2","ESU2","ESU2","Lizard Island",-14.7746,145.3673,"2/16/2009","FLMNH_036_G11","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_036_G11","8355-echinodermata","233e0eeb-058e-4783-a461-83f5d237a6ce"
"6138","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","FFS",23.8732,-166.2348,"10/16/2006","FLMNH_038_C07","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_038_C07","6138-echinodermata","e766ae46-9e47-4c6d-bb42-4ba6f32c6fd5"
"6140","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","FFS",23.8732,-166.2348,"10/16/2006","FLMNH_038_D06","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_038_D06","6140-echinodermata","2f2baf1f-1318-4cb0-8180-0e980adc7025"
"6141","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","FFS",23.8732,-166.2348,"10/16/2006","FLMNH_038_E06","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_038_E06","6141-echinodermata","6d33bd14-f7d0-4071-b45b-d5ecce1b18dc"
"6139","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","FFS",23.8732,-166.2348,"10/16/2006","FLMNH_038_E08","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_038_E08","6139-echinodermata","808c2d6d-994f-4fc2-a27a-caa22db8fbf9"
"6142","Holothuria","impatiens","Hawaii","Hawaii","ESU1","FFS",23.8732,-166.2348,"10/16/2006","FLMNH_038_F06","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_038_F06","6142-echinodermata","d3cf15cc-fd2a-43be-815f-0960d50c06be"
"6143","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","FFS",23.8732,-166.2348,"10/16/2006","FLMNH_038_G06","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_038_G06","6143-echinodermata","1040b4fc-0397-4af8-a0fb-3e8a6e17bcf8"
"7488","Holothuria","impatiens","ESU2","ESU2","ESU2","Nosy B̩",-13.4244,48.3642,"5/15/2008","FLMNH_043_A06","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_043_A06","7488-echinodermata","769ec896-0ece-4f5a-a2f0-a0bb6c6626c9"
"7383","Holothuria","impatiens","ESU3","ESU3","ESU1","Nosy B̩",-13.4806,48.2333,"5/14/2008","FLMNH_043_A08","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_043_A08","7383-echinodermata","61c41fca-8f06-4e09-9449-3d5abd21a08d"
"7531","Holothuria","impatiens","ESU2","ESU2","ESU2","Nosy B̩",-13.4139,48.3056,"5/16/2008","FLMNH_043_B09","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_043_B09","7531-echinodermata","c1861b46-8eb0-4e39-93a5-e6c1ccc8b168"
"7541","Holothuria","impatiens","ESU2","ESU2","ESU2","Nosy B̩",-13.4139,48.3056,"5/16/2008","FLMNH_043_D11","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_043_D11","7541-echinodermata","5850c1a7-f8a5-4f1b-9b26-96119b95ae86"
"7384","Holothuria","impatiens","ESU2","ESU2","ESU2","Nosy B̩",-13.4806,48.2333,"5/14/2008","FLMNH_043_G07","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_043_G07","7384-echinodermata","17c3b428-ac79-44a0-81ac-db7e3c0ff772"
"8942","Holothuria","impatiens","ESU3","ESU3","gracilis","Tanzania",-6.38733,39.28727,"8/16/2009","FLMNH_080_A03","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_080_A03","8942-echinodermata","1ad44e84-e89e-4bc4-871d-55471a41dbe6"
"8574","Holothuria","impatiens","ESU1","ESU1","ESU1","Lizard Island",-14.667892,145.4443815,"2/2009","FLMNH_080_A05","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_080_A05","8574-echinodermata","d7ea9dcd-fb48-432d-8080-48c82fff49c6"
"8943","Holothuria","impatiens","ESU2","ESU2","ESU2","Tanzania",-6.38733,39.28727,"8/16/2009","FLMNH_080_B04","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_080_B04","8943-echinodermata","274d11f2-2022-47b1-adc0-0bb8e925c9df"
"8604","Holothuria","impatiens","ESU1","ESU1","ESU1","Lizard Island",-14.667892,145.4443815,"2/2009","FLMNH_080_C06","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_080_C06","8604-echinodermata","89c564a3-5acf-469a-876a-9fad3a29a82a"
"8939","Holothuria","impatiens","ESU1","ESU1","ESU1","Tanzania",-6.38733,39.28727,"8/16/2009","FLMNH_080_C11","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_080_C11","8939-echinodermata","e126eb90-d493-4e85-842b-dc44c96d7f86"
"8944","Holothuria","impatiens","ESU2","ESU2","ESU2","Tanzania",-6.38733,39.28727,"8/16/2009","FLMNH_080_E05","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_080_E05","8944-echinodermata","30a7dd5e-36b3-46d8-8c3c-9e1d6a521ad5"
"8603","Holothuria","impatiens","ESU1","ESU1","ESU1","Lizard Island",-14.667892,145.4443815,"2/2009","FLMNH_080_G03","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_080_G03","8603-echinodermata","9cff6876-9063-4098-aa13-d0481246d148"
"9440","Holothuria","impatiens","gracilis","gracilis","gracilis","Ningaloo",-22.74152,113.6836,"5/15/2009","FLMNH_093_A03","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_093_A03","9440-echinodermata","0b7cead4-0b37-419c-be3e-4a3b7591b557"
"9544","Holothuria","impatiens","gracilis","gracilis","gracilis","Ningaloo",-22.49297,113.7258,"5/2009","FLMNH_093_C06","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_093_C06","9544-echinodermata","4213ab71-3421-4eed-b26c-bd4fd1f87abd"
"9628","Holothuria","impatiens","ESU2","ESU2","ESU2","Ningaloo",-22.72148,113.6424,"5/2009","FLMNH_094_B03","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_094_B03","9628-echinodermata","c7dbbf20-6de9-4d16-9f5d-46c43bbd852f"
"9611","Holothuria","impatiens","ESU2","ESU2","ESU2","Ningaloo",-22.59,113.65,"5/2009","FLMNH_094_B05","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_094_B05","9611-echinodermata","d613524a-c130-42e2-815f-f18ef37a9fde"
"4713","Holothuria","impatiens","tiger","tiger","tiger","Marianas",13.5,144.8,"2003","FLMNH_112_G06","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_112_G06","4713-echinodermata","89110495-64b1-4eee-a285-57d2651a0fc9"
"9412","Holothuria","gracilis","gracilis","gracilis","","Ningaloo",-22.67533,113.6843,"05/01/09","FLMNH_120_B04","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_120_B04","9412-echinodermata","488d8600-4a66-431e-bb58-71d8c8a18f40"
"9637","Holothuria","impatiens","Gala","Gala","Gala","Galapagos Islands",-0.647814,-91.177374,"6/26/1991","FLMNH_154_A02","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_154_A02","9637-echinodermata","17e5d5d7-9b1f-4ffa-a936-a6a846d5d9a3"
"9640","Holothuria","impatiens","Gala","Gala","Gala","Galapagos Islands",0.011035,-91.218653,"5/3/1996","FLMNH_154_D02","","","",0,0,0,0,0,0,0,0,0,0,"FLMNH_154_D02","9640-echinodermata","16567674-b1a2-43cb-902a-97f5e81f672a"
"9641","Holothuria","impatiens","Gala","Gala","Gala","Galapagos Islands",-1.336557,-90.298985,"3/8/1997","FLMNH_154_E02","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_154_E02","9641-echinodermata","bd9aa304-d710-4c5c-ab83-20dd7cc3369b"
"9353","Holothuria","impatiens","ESU1","missing","ESU1","Glorieuses",-11.5775,47.28366667,"5/8/2009","FLMNH_160_C05","","","",0,0,0,0,0,0,0,0,0,0,"FLMNH_160_C05","9353-echinodermata","1298e4e9-f466-47a4-88c5-c453d2ea54c6"
"9343","Holothuria","impatiens","ESU1","missing","ESU1","Ile du Lys",-11.51576667,47.37331667,"5/7/2009","FLMNH_160_D05","","","",0,0,0,0,0,0,0,0,0,0,"FLMNH_160_D05","9343-echinodermata","7552421f-82ba-4081-820f-9130fc92aa54"
"9192","Holothuria","impatiens","ESU1","ESU1","ESU1","Europa",-22.34656667,40.33203333,"4/23/2009","FLMNH_160_E05","","","",0,0,1,0,0,0,0,0,0,1,"FLMNH_160_E05","9192-echinodermata","170e666c-c8a7-4013-a34d-70c12be79d6c"
"10078","Holothuria","truncata","gracilis","gracilis","truncata","Heron Island",-23.42996,151.9505,"11/20/2009","FLMNH_162_E12","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_162_E12","10078-echinodermata","f7ce36d7-3550-4ebc-94f5-21757693a42f"
"10207","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23,152,"11/2009","FLMNH_168_B09","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_B09","10207-echinodermata","66b7ba35-1fce-4399-8e3a-104c81cc303b"
"10145","Holothuria","gracilis","gracilis","gracilis","gracilis?","Heron Island",-23.4312833333,152.03375,"11/23/2009","FLMNH_168_C04","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_C04","10145-echinodermata","3e2411cb-33a5-4900-b6e0-458182c2b578"
"10192","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23,152,"11/2009","FLMNH_168_D08","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_D08","10192-echinodermata","5a2a635e-acf9-4fc6-b0a2-36589d02b777"
"10184","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23.54396,151.72279,"11/27/2009","FLMNH_168_F08","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_F08","10184-echinodermata","41e6d77c-cda7-4913-b8fd-9fae6291c64c"
"10146","Holothuria","impatiens","gracilis","gracilis","?","Heron Island",-23.4283666667,151.95455,"11/25/2009","FLMNH_168_G03","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_G03","10146-echinodermata","6cbca8b2-6dcc-4747-b911-1f07c5417b35"
"10208","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23,152,"11/2009","FLMNH_168_G08","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_G08","10208-echinodermata","0091f5cb-1e27-478c-b764-827ecbbb267b"
"10193","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23,152,"11/2009","FLMNH_168_H07","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_H07","10193-echinodermata","4985e969-99ef-4e51-b191-77a20470bef3"
"10206","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23,152,"11/2009","FLMNH_168_H09","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_168_H09","10206-echinodermata","d888a192-d12d-44cb-ada4-e9415706c7e3"
"10043","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23.3174166667,151.7169833333,"11/17/2009","FLMNH_171_A07","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_171_A07","10043-echinodermata","23557a9d-bcfe-4556-902a-ae0601167e0e"
"10129","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23.4417666667,151.9004333333,"11/16/2009","FLMNH_171_C03","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_171_C03","10129-echinodermata","793d276d-fc20-4669-b09d-28d46d3e5641"
"10130","Holothuria","gracilis","gracilis","gracilis","gracilis","Heron Island",-23.4417666667,151.9004333333,"11/16/2009","FLMNH_171_D03","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_171_D03","10130-echinodermata","6072efc7-211d-4df2-823e-1cc74e0eb906"
"10053","Holothuria","truncata","gracilis","gracilis","truncata","Heron Island",-23.2891333333,151.76695,"11/17/2009","FLMNH_171_D04","","","yes",0,0,1,0,0,0,0,0,0,1,"FLMNH_171_D04","10053-echinodermata","1083a71a-f7d0-4b8a-9aa0-433452a27ce2"
"10124","Holothuria","truncata","gracilis","gracilis","truncata","Heron Island",-23.4417666667,151.9004333333,"11/16/2009","FLMNH_171_G03","","","no",0,0,1,0,0,0,0,0,0,1,"FLMNH_171_G03","10124-echinodermata","428e50fe-6309-46ca-8caf-89873b223bac"
"4737","Holothuria","impatiens","tiger","tiger","tiger?","Guam",13.5403,144.804831,"2003","G0095","","yes","",1,0,0,0,0,0,0,0,0,1,"G0095","4737-echinodermata","274ea9ec-9114-491c-af00-449e88c7acfb"
"1611b","Holothuria","impatiens","Wpac","Wpac","ESU1","Palau",NA,NA,"3/5/2003","G0102","","","",1,1,0,0,0,0,0,0,0,2,"G0102","1611-echinodermata","19892b52-6b99-46cd-890d-a447e07f866f"
"4709","Holothuria","impatiens","tiger","tiger","tiger","Guam",13.5,144.8,"2003","G0108","","","",1,1,1,0,0,0,0,0,0,3,"G0108","4709-echinodermata","3a826848-1ded-4433-b347-6b14e6198b4b"
"3430","Holothuria","impatiens","EP","EP","EP","Panama",8.243,-78.8723333333,"4/7/2004","G0149","","","",1,0,1,0,0,0,0,0,0,2,"G0149","3430-echinodermata","73b1b15f-7e87-4f7f-bce1-76bf832c5460"
"4808","Holothuria","impatiens","Hawaii","Hawaii","ESU1/hawaii","Oahu",19.99667,-155.24556,"2/24/2006","G0181","","","",1,1,1,0,0,0,0,0,0,3,"G0181","4808-echinodermata","a644b8c0-fdaa-4402-9d51-c9e84441daeb"
"2100","Holothuria","impatiens","WA","WA","WA","Virgin Islands",18.3390972222,-64.6761444444,"","G0222","","","",1,1,1,1,1,0,0,0,1,6,"G0222","2100-echinodermata","18791598-c54a-4456-9c44-868517393247"
"MOLAF087","Holothuria","impatiens","Medit","Medit","","Sicily",38.13,15.05,"","G0242","","","",1,0,1,0,1,0,0,0,0,3,"G0242",NA,NA
"LACM_2003_76","Holothuria","impatiens","WA","WA","subsample only","Bocas",9.350162,-82.259313,"","G0341","","","",1,1,0,0,0,0,0,0,0,2,"G0341",NA,NA
"BNZ1761","Holothuria","impatiens","ESU2","Wpac","Wpac","",NA,NA,"","G0348","","","",1,0,0,0,0,0,0,0,0,1,"G0348",NA,NA
"929","Holothuria","impatiens","Hawaii","Hawaii","BandW","Hawaii",20.999748,-156.667097,"10/10/2000","J0321","","","",1,0,1,0,0,0,0,0,0,2,"J0321","929-echinodermata","0bfca8ac-cb6f-4b6d-9db4-e039a62d19aa"
"1280","Holothuria","impatiens","tiger","tiger","tiger","Maui",21.001197,-156.668389,"11/12/2002","J0419","","yes (buttons only)","",1,1,1,1,1,0,1,0,1,7,"J0419","1280-echinodermata","c7023670-44c5-4be2-b186-32b5b757d72a"
"Samyn","Holothuria","impatiens","ESU1","ESU1","","Comoros",-11.65,43.33,"","K0126","","","",1,0,1,0,0,0,0,0,0,2,"K0126",NA,NA
"MOLAF123","Holothuria","impatiens","Medit","Medit","","Sicily",38.13,15.05,"","N0014","","","",1,0,1,0,1,0,0,0,1,4,"N0014",NA,NA
"MOLAF125","Holothuria","impatiens","ESU1","ESU1","","GBR",-12.2533333,143.2316667,"","N0023","","","",1,0,1,0,0,0,0,0,0,2,"N0023",NA,NA
"MOLAF138","Holothuria","impatiens","ESU3","ESU3","","PNG",-10.33,150.42,"","N0027","","","",1,1,1,0,0,0,0,0,0,3,"N0027",NA,NA
"MOLAF139","Holothuria","impatiens","ESU1","ESU1","","PNG",-9.536,147.289,"","N0028","","","",1,1,1,0,0,0,0,0,0,3,"N0028",NA,NA
"9667","Holothuria","impatiens","Gala","Gala","Gala","Galapagos Islands",-0.761374,-90.304248,"4/29/1994","N0057,N0188,FLMNH_154_G06","","","",0,0,0,0,0,0,0,0,1,1,"N0057","9667-echinodermata","1795cad7-a206-4df1-a8fc-455efcb74d82"
"9668","Holothuria","impatiens","Gala","Gala","Gala","Galapagos Islands",-0.25922,-91.461394,"5/2/1996","N0061,N0185,FLMNH_154_H06","","","",0,0,1,1,1,0,0,0,1,4,"N0061","9668-echinodermata","cae6d306-f1a5-4186-a051-abde78d69def"
"3625","Holothuria","impatiens","ESU1","ESU1","ESU1","Palau",7.161111,134.376111,"","N0122","","","",1,1,1,0,0,0,0,0,0,3,"N0122","3625-echinodermata","f6512fef-496d-4be4-8b09-88dffd8b867d"
"4343","Holothuria","impatiens","ESU1","ESU1","ESU1","Vanuatu",-15.4777777778,167.2583333333,"1/18/2005","N0123","","","",1,0,1,0,0,0,0,0,0,2,"N0123","4343-echinodermata","7302cbb4-3f7d-46e7-96cb-25e7aa30baec"
"216","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.5,144.8,"8/22/1984","N0124","","","",0,0,1,0,0,0,0,0,0,1,"N0124","216-echinodermata","ab3298d6-e1ce-4875-8a54-46f7713de13e"
"2268","Holothuria","impatiens","ESU1","ESU1","ESU1","Papua New Guinea",-3.5908333333,148.0319444444,"6/20/2003","N0125","","","",1,0,1,0,0,0,0,0,0,2,"N0125","2268-echinodermata","0693601f-e3a0-4b05-bbdf-505bafaca974"
"220","Holothuria","impatiens","ESU2","ESU2","ESU2","Guam",13.5,144.8,"8/22/1984","N0126","","","",0,0,1,0,0,0,0,0,0,1,"N0126","220-echinodermata","813bf40b-5f41-480b-8a18-01be8893c396"
"3929","Holothuria","impatiens","ESU1","ESU1","ESU1","Okinawa",13.5,144.8,"7/4/2004","N0127","","","",0,0,1,0,0,0,0,0,0,1,"N0127","3929-echinodermata","4f01f8c8-10a3-42c8-be35-1b37d051c56e"
"3928","Holothuria","impatiens","ESU1","ESU1","ESU1","Okinawa",13.5,144.8,"7/26/2004","N0128","","","",1,0,1,0,0,0,0,0,0,2,"N0128","3928-echinodermata","aafae8e3-a0a2-4488-951e-02efc0aaf4f3"
"4307","Holothuria","impatiens","ESU1","ESU1","ESU1","Vanuatu",-15.5325,167.2141666667,"1/16/2005","N0129","","","",1,0,1,0,0,0,0,0,0,2,"N0129","4307-echinodermata","47e3c626-d948-4de1-bbe3-6cf9549576c4"
"574","Holothuria","impatiens","ESU1","ESU1","ESU1","Tikehau",-15.133333,-148.233333,"6/10/2001","N0130","","","",1,0,1,0,0,0,0,0,0,2,"N0130","574-echinodermata","076af40c-3589-40b8-8e34-7dd75539c685"
"FRM106","Holothuria","impatiens","EP","EP","","Panama",7.97,-82.03,"","N0132","","","yes",1,1,1,1,1,0,1,0,1,7,"N0132",NA,NA
"FRM107","Holothuria","impatiens","EP","EP","","Panama",7.966,-81.983,"","N0133","","","yes",1,1,1,1,1,0,1,0,0,6,"N0133",NA,NA
"FRM110","Holothuria","impatiens","EP","EP","","Panama",7.97,-82.03,"","N0134","","","yes",1,1,1,1,1,0,1,0,1,7,"N0134",NA,NA
"4264","Holothuria","impatiens","ESU1","ESU1","ESU1","Oman",23.637545,58.48879,"1/26/2005","N0146,C0021","","","",1,1,1,0,0,0,0,0,0,3,"N0146","4264-echinodermata","edc5f80e-53a7-44fe-bf8f-23882b2fad8b"
"1850","Holothuria","impatiens","ESU1","ESU1","ESU1/hawaii","Oahu",21.287347,-157.672663,"8/31/1999","N0147,C0023","","","",1,1,1,1,1,0,1,0,1,7,"N0147","1850-echinodermata","d2bf4900-53de-4757-98eb-96592ab4993d"
